season,episode,"Jack says ""Miss Fisher""","Jack says ""(Miss) Phryne Fisher""","Jack says ""Phryne""",locations,change of locations,"Phryne says ""Jack""","Phryne says ""Jack Robinson""","Phryne says ""Inspector (Jack) (Robinson)""","Phryne says ""Detective Inspector Jack Robinson""",very close,long eye contact,touching,Jack smiles to someone (not Phryne),Jack smiles do Phryne,boudoir scene with Phryne,Phryne flirting with other men,Phryne 'flirting' with Jack,scene with Jack in Phryne's home,Phryne sitting in Jack's table,Phryne in Jack's office,Phryne in Jack's police station,Phryne and Jack talking 'alone',Phryne and Jack talking not alone / on the same scene,Phryne changes clothes ,number of different outfits Phryne wears,number of different outfits with feathers Phryne wears,number of different outfits with fur Phryne wears,number of different ties/suits Jack wears,drinking,Jack is jealous,Phryne is jealous,hispano suiza appears,golden gun appears,Jack's gun appears,Phryne wears a hat,Jack wears his fedora,Phryne is Breaking & Entering / being stealthy,scenes with Phryne,scenes with Jack,scenes with Dot,scenes with Hugh,scenes with Aunt Prudence,scenes with Bert/Cec,scenes with Jane,scenes with Mac,scenes with Mr. Butler,scene on Phryne's house,scene on the police station,number of scenes
,,Jack,Jack,Jack,none,none,Phryne,Phryne,Phryne,Phryne,Both,Both,Both,Jack,Jack,Phryne,Phryne,Phryne,Jack,Phryne,Phryne,Phryne,Both,Both,Phryne,Phryne,Phryne,Phryne,Phryne,none,Jack,Phryne,none,Phryne,Jack,Phryne,Jack,Phryne,Phryne,Jack,Dot,Hugh,Aunt Prudence,Bert/Cec,Jane,Mac,Mr. Butler,none,none,none
1,1,7,0,0,13,31,0,0,4,2,0,0,1,0,0,1,3,1,0,0,0,1,0,5,13,12,1,2,4,4,0,0,0,3,0,8,2,2,36,7,17,8,5,13,0,8,0,0,3,52
1,2,10,0,0,8,17,1,0,13,1,1,1,1,0,5,0,1,0,0,0,0,1,6,7,9,8,4,1,4,1,0,0,6,3,0,13,2,0,38,18,17,9,0,11,15,0,10,16,3,51
1,3,5,0,0,9,25,7,0,2,0,2,1,0,2,4,0,3,0,0,1,3,3,6,5,10,10,1,2,4,3,0,0,0,0,0,12,2,0,37,16,9,15,0,4,0,0,4,10,10,47
1,4,7,0,0,12,30,3,0,2,0,1,0,1,0,3,1,2,0,3,0,0,1,4,6,14,9,0,4,4,3,0,0,2,2,1,23,9,1,39,14,14,13,2,4,5,0,5,15,1,47
1,5,6,0,0,10,27,3,0,2,0,4,2,1,1,1,0,2,0,1,1,2,4,5,6,12,8,0,3,4,3,0,0,2,5,1,19,4,1,32,13,9,8,0,7,0,2,4,13,10,44
1,6,3,0,2,5,17,3,1,5,0,4,3,5,1,4,1,4,0,0,1,2,1,8,14,12,9,1,1,4,2,2,0,1,0,0,20,3,1,45,23,20,6,0,0,0,0,2,8,5,50
1,7,5,0,2,9,31,1,0,0,1,1,2,4,0,1,0,0,0,3,0,2,2,4,10,10,7,1,1,3,2,0,0,1,0,2,14,7,1,33,18,6,13,0,19,0,0,10,16,6,47
1,8,3,0,0,6,28,7,0,3,0,4,3,2,2,4,1,1,2,4,0,1,2,11,6,11,9,2,0,4,0,1,0,1,0,0,21,6,2,39,21,11,11,0,0,0,0,6,15,5,47
1,9,2,0,0,7,34,1,0,3,0,1,1,2,0,4,0,0,1,7,0,3,1,4,15,7,7,0,1,5,2,1,0,1,0,0,17,8,0,31,23,14,19,0,0,17,0,5,17,7,45
1,10,4,0,2,6,25,1,0,1,0,0,2,0,1,2,0,0,0,1,1,3,4,6,10,7,7,0,1,4,2,0,0,0,0,0,20,6,1,33,19,15,12,3,3,0,11,6,12,8,50
1,11,4,0,0,6,28,4,1,0,0,1,1,0,4,2,0,0,1,1,2,0,3,5,5,9,7,1,0,2,1,0,0,1,1,1,3,4,1,35,19,5,14,0,0,3,0,4,9,16,51
1,12,1,0,1,4,17,4,1,2,1,2,4,2,1,2,0,0,0,2,0,1,2,7,10,4,5,1,1,3,1,0,0,1,1,1,15,2,1,33,20,13,15,14,10,12,0,8,9,6,50
1,13,4,0,3,7,26,8,0,2,0,3,3,7,2,3,0,0,0,3,0,3,3,5,8,4,4,2,0,4,2,0,0,1,5,0,14,0,3,33,22,20,16,1,8,9,1,4,8,10,47
2,1,1,1,0,7,32,5,0,0,0,4,3,1,6,5,0,2,1,1,0,3,1,8,10,12,10,4,1,3,6,0,1,1,1,0,21,8,2,31,32,11,21,0,2,0,2,4,9,11,50
2,2,3,0,0,5,17,5,0,3,1,2,5,3,4,4,1,1,1,7,1,3,5,4,14,7,8,1,2,3,2,2,0,0,0,0,5,2,2,29,18,6,12,9,3,0,0,7,20,6,37
2,3,4,0,0,8,29,11,0,1,0,5,2,1,2,8,0,0,2,1,0,0,0,12,5,10,7,0,0,5,4,0,0,4,0,2,15,6,4,37,20,20,9,16,2,19,0,9,1,5,47
2,4,2,0,0,6,24,1,0,1,0,4,5,4,6,2,1,3,1,2,0,2,6,9,11,7,7,3,2,3,1,0,0,2,0,0,18,14,3,35,23,13,15,0,5,0,2,3,7,9,44
2,5,1,0,0,5,26,3,0,2,0,3,4,2,1,4,0,0,3,5,0,2,3,5,14,10,11,1,3,5,3,0,0,0,0,1,15,5,6,33,26,19,12,0,3,0,0,3,11,11,45
2,6,4,0,0,10,23,2,0,1,0,1,3,1,4,3,0,0,0,0,0,1,4,9,10,5,4,1,0,4,3,1,0,0,1,0,25,19,1,28,27,5,16,0,8,0,0,1,2,10,42
2,7,8,0,0,8,22,12,0,4,1,1,1,0,1,0,0,0,0,3,1,1,3,7,7,8,9,0,2,4,4,0,0,0,0,0,24,5,3,29,15,10,7,0,5,0,3,3,6,6,35
2,8,9,0,0,3,14,4,0,12,2,4,4,2,2,1,0,0,0,3,0,0,0,7,14,6,7,2,2,4,3,0,0,0,0,1,22,5,0,30,31,4,20,0,0,0,9,1,8,8,41
2,9,7,0,0,4,16,4,0,3,0,1,1,0,2,3,1,2,0,2,1,1,3,4,16,7,6,2,2,4,4,0,0,4,2,0,30,2,2,43,24,13,12,0,5,0,0,5,10,7,52
2,10,3,1,1,5,26,5,0,1,0,2,3,2,0,4,0,1,0,1,0,0,3,8,11,4,3,0,1,3,3,0,0,7,3,3,26,5,2,35,22,18,11,0,0,0,0,0,2,7,46
2,11,1,0,0,4,24,3,1,4,0,5,7,3,0,4,0,0,1,5,2,1,4,9,7,11,6,1,0,4,2,0,0,1,0,0,21,6,1,33,23,20,22,0,6,0,0,6,13,11,50
2,12,11,0,1,6,20,15,1,1,0,3,6,3,0,2,0,0,1,6,0,4,3,5,14,8,7,1,0,3,1,1,1,0,4,1,22,2,6,35,23,11,12,6,12,0,0,5,13,10,43
2,13,5,0,0,3,11,11,0,2,1,4,3,1,0,0,0,0,1,0,0,0,0,6,13,8,6,0,2,4,3,0,0,1,1,2,7,0,1,31,24,16,12,16,3,3,16,3,4,2,48
3,1,7,0,0,5,24,11,0,2,1,5,4,1,0,1,0,1,3,6,0,0,2,6,13,6,6,1,1,4,4,4,0,1,0,0,14,1,3,31,24,19,12,2,9,0,2,4,12,4,43
3,2,5,0,0,6,26,9,0,0,1,3,2,2,0,2,1,2,1,1,2,3,3,9,10,6,6,1,0,3,4,6,0,0,1,3,20,6,1,31,22,12,13,0,10,0,0,3,7,12,44
3,3,4,0,1,8,25,9,0,0,0,2,2,1,1,1,1,1,1,3,1,1,5,10,14,7,5,1,2,4,4,1,5,2,2,0,28,7,2,36,27,12,9,0,3,0,1,1,3,7,44
3,4,1,0,0,5,24,5,0,4,0,2,3,2,1,3,0,0,0,3,0,0,5,5,13,4,3,0,0,2,3,0,0,1,1,0,15,7,3,31,22,14,13,0,2,0,9,6,10,10,38
3,5,4,0,0,5,14,2,0,1,0,4,5,2,0,1,0,0,2,0,0,2,3,5,14,3,3,2,,3,0,0,0,0,0,0,28,4,2,35,20,20,0,11,7,0,3,1,1,5,42
3,6,6,1,0,5,15,7,0,0,0,2,3,3,0,2,0,0,0,1,0,4,2,12,13,4,4,1,0,2,2,0,0,0,1,0,15,8,1,34,26,16,0,6,1,0,0,3,8,8,52
3,7,8,0,0,6,23,10,0,2,1,6,4,3,2,2,0,1,1,1,2,3,2,11,16,9,8,3,1,5,2,0,1,0,0,0,25,16,2,40,29,16,10,0,2,0,1,3,10,9,47
3,8,1,0,1,7,28,9,1,1,0,3,4,4,0,3,0,0,2,1,1,2,0,8,17,5,5,1,0,4,0,2,0,1,0,1,16,10,0,31,26,17,14,0,7,0,3,7,13,5,52