season,episode,type_of_murder,victim,murderer,relationship_with_victim,comments
1,S01E01,poisoning,male,female,lover,
1,S01E02,suffocation,female,male,in-law,hanged
1,S01E03,dart,male,male,acquaintance,
1,S01E04,gunshot,male,male,colleague,
1,S01E05,poisoning,male,male,friend,
1,S01E06,poisoning,male,male,colleague,
1,S01E06,concussion,male,male,colleague,
1,S01E07,running over,male,male,acquaintance,
1,S01E07,burned,male,male,acquaintance,arson
1,S01E08,poisoning,female,male,colleague,posion on a music box
1,S01E08,fall,female,male,colleague,fell the stairs
1,S01E09,drowning,female,male,family friend,
1,S01E10,crushed,female,female,lover,estraçalhada numa maquina
1,S01E10,poisoning,male,female,employee,
1,S01E11,perfuration,female,male,acquaintance,
1,S01E12,suffocation,female,male,none,
1,S01E13,lobotomy,male,male,friends,
1,S01E13,suffocation,female,male,ex-lover,
2,S02E01,suffocation,male,male,acquaintance,
2,S02E02,perfuration,male,female,none,
2,S02E02,poisoning,male,female,acquaintance,
2,S02E03,suffocation,male,male,colleague,
2,S02E03,perfuration,male,male,employer,
2,S02E03,suffocation,female,male,employer,
2,S02E04,perfuration,male,female,acquaintance,
2,S02E05,perfuration,female,female,employer,
2,S02E05,suffocation,female,female,colleague,
2,S02E06,suffocation,male,male,colleague,
2,S02E06,gunshot,male,male,colleague,
2,S02E07,suffocation,female,female,friend,
2,S02E08,perfuration,male,male,colleague,
2,S02E09,perfuration,male,female,colleague,
2,S02E09,perfuration,male,female,colleague,
2,S02E10,suffocation,male,male,acquaintance,
2,S02E11,suffocation,female,male,colleague,
2,S02E11,suffocation,male,male,acquaintance,
2,S02E12,drowning,female,male,none,
2,S02E13,electrocution,male,male,employer,
2,S02E13,concussion,female,male,lover,
2,S02E13,gunshot,male,male,employer,
2,S02E13,poisoning,female,male,employer,
3,S03E01,decapitation,female,female,colleague,
3,S03E02,poisoning,female,male,colleague,
3,S03E03,poisoning,female,female,relative,
3,S03E04,suffocation,male,male,acquaintance,
3,S03E04,septicimia,male,male,acquaintance,
3,S03E04,poisoning,male,male,self?,
3,S03E05,electrocution,female,male,acquaintance,
3,S03E05,poisoning,female,male,relative,
3,S03E06,fall,male,male,none,
3,S03E06,perfuration,female,male,none,
3,S03E07,spider bite,female,female,colleague,
3,S03E08,suffocation,male,male,none,
3,S03E08,poisoning,male,male,acquaintance,
3,S03E08,perfuration,male,male,friend,