season,episode,Phryne,Jack,Dot,Hugh,Aunt_Prudence,Cec_and_Bert,Jane,Mac,Mr_Butler
1,1,0.7659574468,0.1489361702,0.3617021277,0.170212766,0.1063829787,0.2765957447,0,0.170212766,0
1,2,0.8085106383,0.3829787234,0.3617021277,0.1914893617,0,0.2340425532,0.3191489362,0,0.2127659574
1,3,0.7872340426,0.3404255319,0.1914893617,0.3191489362,0,0.08510638298,0,0,0.08510638298
1,4,0.829787234,0.2978723404,0.2978723404,0.2765957447,0.04255319149,0.08510638298,0.1063829787,0,0.1063829787
1,5,0.7272727273,0.2954545455,0.2045454545,0.1818181818,0,0.1590909091,0,0.04545454545,0.09090909091
1,6,0.9,0.46,0.4,0.12,0,0,0,0,0.04
1,7,0.7021276596,0.3829787234,0.1276595745,0.2765957447,0,0.4042553191,0,0,0.2127659574
1,8,0.829787234,0.4468085106,0.2340425532,0.2340425532,0,0,0,0,0.1276595745
1,9,0.6888888889,0.5111111111,0.3111111111,0.4222222222,0,0,0.3777777778,0,0.1111111111
1,10,0.66,0.38,0.3,0.24,0.06,0.06,0,0.22,0.12
1,11,0.6862745098,0.3725490196,0.09803921569,0.2745098039,0,0,0.05882352941,0,0.07843137255
1,12,0.66,0.4,0.26,0.3,0.28,0.2,0.24,0,0.16
1,13,0.7021276596,0.4680851064,0.4255319149,0.3404255319,0.02127659574,0.170212766,0.1914893617,0.02127659574,0.08510638298